post_id,post_title,date,raw_company,raw_title,raw_yoe,raw_salary,raw_salary_total,raw_location,company,title,location,yoe,salary,salary_total
1257686,SmartCoin | Software Developer 1,2021/06/08,smartcoin financials,member of technical staff - 1,0,"15,00,000 rs.",": ~17,00,000 rs.","hyderabad, remote",smartcoin,mts 1,hyderabad,0.0,1500000.0,1700000.0
1059607,Atlassian | P5 | Bangalore,2021/02/10,atlassian,sde 3,10,rs. 3600000,": rs. 59,00,000",bangalore,atlassian,sde 3,bangalore,10.0,3600000.0,5900000.0
1529665,OLA | SDE 2,2021/10/19,ola,sde-2,4+,"rs. 39,00,000","~ rs. 43,00,000",india,ola,sde 2,india,4.0,3900000.0,4300000.0
1469241,Ola | SDE3 equivalent,2021/09/17,ola,sde -3 equivalent,5+ yrs,"rs. 41,00,000",": rs. 50,00,000",india,ola,n/a,india,5.0,4100000.0,5000000.0
1202863,Amazon | SDE 1 | Hyderabad,2021/05/11,amazon,sde 1,2 yrs 8 months,"17,15,000",": 26,65,000 for 1st year",hyderabad,amazon,sde 1,hyderabad,2.6666666666666665,1715000.0,2665000.0
1257692,InsuranceDekho (CarDekho) | Software Developer Engineer 1,2021/06/08,insurancedekho,software dev. i,0,"13,00,000 rs.",": ~14,50,000 (not including stocks)","gurgaon, remote",insurancedekho,sde 1,delhi,0.0,1300000.0,1450000.0
949574,Amazon | SDE 1 | New Grad '21 | Bengaluru,2020/11/26,amazon,sde1,,inr 1450000,": inr 19,10,000 (first year)",hyderabad,amazon,sde 1,hyderabad,-1.0,1450000.0,1910000.0
1332744,"MathWorks, Bangalore | Application Support Engineer | On-campus",2021/07/12,mathworks,application support engineer,0,"rs. 16,00,000",: 16+2+1+0.2 = rs. 19.2 lacs (for first year),"bangalore, india",mathworks,n/a,bangalore,0.0,1600000.0,1920000.0
1196738,VMWare | MTS-2 | Bangalore | Apr 2021 [Offer Declined],2021/05/08,vmware,mts-2,1+,"25,00,000",": 36,00,000",bangalore,vmware,mts 2,bangalore,1.0,2500000.0,3600000.0
228994,Senior Technical Developer at DevON Bangalore,2019/01/30,devon software services pvt ltd,senior technical developer,2+,750000,: 750000,bangalore india,devon software services pvt ltd,n/a,bangalore,2.0,750000.0,750000.0
738964,Morgan Stanley | Technology Analyst | India (Bangalore),2020/07/16,morgan stanley,technology analyst,0,"16,00,000/- inr",,"bangalore,india",morgan stanley,techonology analyst,bangalore,0.0,1600000.0,-1.0
1601179,Vmware || MTS-2  || Bangalore,2021/11/28,vmware,mts-2,2.3,23.5,: ~30 lpa,bangalore,vmware,mts 2,bangalore,2.3,2350000.0,3000000.0
1666684,cure.fit | Backend Engineer | Banglore,2022/01/04,cure.fit,backend engineer,2,28lpa inr,: 36,banglore,cure.fit,sde 1,bangalore,2.0,2800000.0,-1.0
1573231,Paypal | SE 3 | Hyderabad,2021/11/12,paypal,se - 3 or sde - 3,6.5 years,25.5 base,: 25 + 2.5 + 10 = 37.5,hyderabad,paypal,n/a,hyderabad,6.5,2550000.0,-1.0
896670,Morgan Stanley | Manager | Mumbai,2020/10/16,morgan stanley,manager,7+ years,2150000,:2310000,mumbai,morgan stanley,manager,mumbai,7.0,2150000.0,2310000.0
1549152,Arcesium | Senior Software Engineer | Bangalore,2021/10/30,arcesium,senior software engineer,2.3,20 lpa,: 24-25 lpa,bangalore,arcesium,sde 2,bangalore,2.3,2000000.0,2500000.0
1130100,Grab | Software Engineer Grade 3 (SDE 1) | Bangalore,2021/03/28,grab,software engineer - full stack,1year 10 months,"rs. 15,00,000",,bangalore,grab,n/a,bangalore,1.8333333333333335,1500000.0,-1.0
1265191,Servicenow | Software Quality Engineer | Hyderabad India,2021/06/11,servicenow,software quality engineer ic2,5.6,13l,: 20 l (1st year),hyderabad,servicenow,n/a,hyderabad,5.6,1300000.0,2000000.0
1612850,Google | L3 | Bangalore,2021/12/05,google,software engineer - l3,1.5-2,23.5l,: 62.3l,bangalore,google,sde 1,bangalore,1.5,2350000.0,6230000.0
1140395,Groupon -  SDE2,2021/04/03,groupon,sde 2,4.6,"inr 28,00,000",": inr 34,00,000 first year",bangalore,groupon,sde 2,bangalore,4.6,2800000.0,3400000.0
1310240,Walmart | IN3 | Chennai,2021/07/02,walmart,sde iii,~7y,17 lpa,:~23 lpa,chennai,walmart,sde 3,chennai,7.0,1700000.0,2300000.0
1302122,National Instruments|12 Month Internship|FTE,2021/06/28,amadeus labs,software dev.,1.4,"₹ 11,00,000",": ~₹14,00,000","bengaluru, india",amadeus labs,sde 1,bangalore,1.4,1100000.0,1400000.0
863438,Cvent | Software Engineer | Gurgaon,2020/09/25,cvent,software engineer,0,"inr 9,00,000",": inr 10,62,000",gurgaon,cvent,sde 1,delhi,0.0,900000.0,1062000.0
819394,Gomechanic | Software Engineer | Gurugram,2020/08/30,gomechanic,software engineer,fresher,11lpa,": base-10lpa, others-1lpa","gurugram, india",gomechanic,sde 1,delhi,0.0,1100000.0,-1.0
1244611,Microsoft | L63 | Bangalore,2021/06/01,microsoft,l63,5-6 yrs,rs. 35 lpa,: 35l (fixed) + 6.3l (perf bonus) + 11.1l (stocks) = rs. 52.4l for first year,bangalore,microsoft,sde 3,bangalore,5.0,3500000.0,5240000.0
957945,OCI | SDE-3 | Bangalore,2020/12/03,oracle cloud infrastructure,sde-3,2y 2m,26.5l,in first year: ~33l,bangalore,oracle,sde 3,bangalore,2.0,2650000.0,3300000.0
834212,Flipkart | Software Development Engineer-1 | Bangalore,2020/09/07,flipkart,software development engineer-1,0,"inr 18,00,000",": total ctc: inr 26,57,695; first year: inr 22,76,895",bangalore,flipkart,sde 1,bangalore,0.0,1800000.0,2276895.0
1245269,Razorpay |  Senior Software Engineer,2021/06/01,razorpay,sde 2,3+,"33,00,000 inr",: 38 lpa,bangalore,razorpay,sde 2,bangalore,3.0,3300000.0,3800000.0
1641401,Nutanix | Bangalore | MTS - 4,2021/12/22,nutanix,sde-4,8 years,43 lpa,: ~ 53 lpa,india,nutanix,sde 4,india,8.0,4300000.0,5300000.0
855773,Oracle | Application Engineer | Bangalore/Hyderabad,2020/09/20,oracle,application engineer,,1550000 rupees,(for 1st year) : (salary + bonus + stock/4) 27.5 lakh rupees,bangalore,oracle,applications engineer,bangalore,-1.0,1550000.0,2750000.0
1151307,Walmart IN4,2021/04/10,walmart,in4,6,32l inr,: 46.5l first year,bangalore,walmart,n/a,bangalore,6.0,3200000.0,4650000.0
425635,Directi | Mumbai | 2019,2019/11/10,directi,platform engineer,0,rs 1700000,: ~ rs 2100000 (first year),mumbai,directi,platform engineer,mumbai,0.0,1700000.0,2100000.0
839859,CISCO | Software Development Engineer-1 | Bangalore,2020/09/10,cisco systems,software development engineer-1,0,"inr 12,00,000",": inr 23,43,000",bangalore,cisco,sde 1,bangalore,0.0,1200000.0,2343000.0
367649,SalesForce | SMTS | Hyderabad,2019/08/26,salesforce,smts,7 years,"inr 3,200,000",": ~ inr 4, 700, 000 per year.",hyderabad,salesforce,mts 2,hyderabad,7.0,3200000.0,4700000.0
1102978,Microsoft Level 62 | Bangalore | Azure,2021/03/10,microsoft,software dev. l 62,5,35 lpa,: 35 + 4 + 21.89 + 3.5 ( assuming 10% perf bonus) ~ 64 lpa,"bangalore, india",microsoft,n/a,bangalore,5.0,3500000.0,6400000.0
1122470,Amadeus Labs | Sr. Software Dev,2021/03/22,amadeus labs,sr. software dev,4+,"₹ 1,600,000",": ~₹18,50,000",india,amadeus labs,sde 2,india,4.0,1600000.0,1850000.0
1740910,Meesho | SDE 2 | Banglore,2022/02/03,meesho,sde-2,2.6,31 lpa,: ~ 36 (first year) 36(second year without hike),banglore,meesho,sde 2,bangalore,2.6,3100000.0,-1.0
1440770,Goldman Sachs | Analyst | Bangalore,2021/09/02,goldman sachs,analyst,8 months,inr 15.7 lpa,: 25.4 l,bangalore,goldman sachs,analyst,bangalore,0.6666666666666666,1570000.0,2540000.0
1146848,Nykaa - Senior Software Developer,2021/04/07,nykaa,senior software developer,3.8,"28,00,000",": 30,00,000",india,nykaa,sde 2,india,3.8,2800000.0,3000000.0
1164419,VMWare | MTS3 | Bangalore,2021/04/18,vmware,mts3,5.5,30 lpa,: ~ 45 lpa,bangalore,vmware,mts 3,bangalore,5.5,3000000.0,4500000.0
1729024,Infosys | System Analyst | Mysore,2022/01/29,infosys,system engineer,fresher,inr 360000,": ~ inr 3,70,000 first year",mysore,infosys,systems engineer,mysore,0.0,360000.0,370000.0
1459209,Flipkart | SDE 1 | Bangalore,2021/09/12,flipkart,sde - 1,0,"rs. 18,00,000","~ rs. 21,00,000 per year",bangalore,flipkart,sde 1,bangalore,0.0,1800000.0,2100000.0
1584068,Infosys | Analyst | Mysore,2021/11/18,infosys,analyst,0,"3,90,000/-",": 3,90,000/-",mysore,infosys,analyst,mysore,0.0,390000.0,390000.0
1316989,Times Internet | SE | Delhi,2021/07/05,times internet,software engineer,0,"inr 10,00,000",": inr 13,00,000",delhi,times internet,sde 1,delhi,0.0,1000000.0,1300000.0
1010617,Zomato | SDE (Backend) | Gurugram | Nov 2020,2021/01/10,zomato,sde,1.5,2600000,~ 2900000,gurugram,zomato,sde 1,delhi,1.5,2600000.0,2900000.0
1697245,Phonepe | Software Engineer,2022/01/17,phonepe,,0,"17,50,000 inr",,bangalore,phonepe,n/a,bangalore,0.0,1750000.0,-1.0
1112772,Guavus | SDE-1,2021/03/16,guavus,software engineer,2+,inr 1600000,: inr 1800000,india,guavus,sde 1,india,2.0,1600000.0,1800000.0
1483288,Expedia | SDE 2 | Bangalore,2021/09/24,expedia group,sde-2,2 years,inr 22.5 lpa,: ~inr 28 lpa,bangalore,expedia,sde 2,bangalore,2.0,2250000.0,2800000.0
522370,Instamojo | SDE1 | Bangalore,2020/02/27,instamojo,sde1,1,"11,00,000",": 13,00,000",bangalore,instamojo,sde 1,bangalore,1.0,1100000.0,1300000.0
1535890,Vmware | MTS-3 | Pune | India | Accepted,2021/10/23,vmware,mts-3,5 yrs,30l,(32.5l salary + 3.6l bonus + 7l stock): ~ 43l(excluding joining and relocation bonus).,pune,vmware,mts 3,pune,5.0,3000000.0,-1.0
1090003,Arcesium | Software Test Engineer | Hyderabad,2021/03/02,arcesium,software test engineer,3 months,inr 5 lpa,: inr 6.25 lpa,"hyderabad, india",arcesium,n/a,hyderabad,0.25,500000.0,625000.0
1118263,OYO -SDE2,2021/03/20,mnc,software engineer,3.7,32lpa fixed,: 32 lpa fixed,bangalore,mnc,sde 1,bangalore,3.7,3200000.0,3200000.0
1575536,URGENT HELP - Thoughtworks vs Tekion Chennai Which one to choose,2021/11/13,thoughtworks,application developer,3 months,9lpa,: 8.33 lpa,bengaluru,thoughtworks,application developer 1,bangalore,0.25,900000.0,-1.0
1585809,Paytm Money | Team Lead | Bengaluru | Rejected,2021/11/19,paytm money,team lead,6.5,"31,00,000",": 34,50,000 for first year",bengaluru,paytm,n/a,bangalore,6.5,3100000.0,3450000.0
1664483,Swiggy | SD-2 | Bangalore,2022/01/03,swiggy,sd-2,5+,inr 46l base,: 55.5 l for 1st year,bangalore,swiggy,sde 2,bangalore,5.0,4600000.0,5550000.0
1135468,Dream11 - SDE 2,2021/03/31,dream11,sde ii,3 years,29l inr,: ~ 33l first year,"mumbai, india",dream11,sde 2,mumbai,3.0,2900000.0,3300000.0
1160327,Zeta | Senior Software Development Engineer | Bangalore,2021/04/16,zeta suite,senior software development engineer,6.5,55l,: 67l first year,bangalore,zeta,sde 2,bangalore,6.5,5500000.0,6700000.0
716910,Synopsys | R&D Engineer I | Noida,2020/07/03,synopsys,research & development engineer i,0,"inr 11,00,000",": inr 16,00,000","noida, india",synopsys,n/a,delhi,0.0,1100000.0,1600000.0
1147798,KPMG | Consultant | Bangalore,2021/04/08,kpmg,technology consultant,4,inr 1400000,: ~ inr 1800000,bangalore,kpmg,technology consultant,bangalore,4.0,1400000.0,1800000.0
1541678,Amazon | SDE2 | India,2021/10/26,amazon,sdeii,3+,"₹36,00,000",: ₹59lpa (first year),india,amazon,sde 2,india,3.0,3600000.0,5900000.0
1721120,HashedIn by Deloitte | Intern + Full Time | Bengaluru,2022/01/26,hashedin by deloitte,software engineer,0 years,₹6 lpa,: ₹8 lakhs,bengaluru,deloitte,sde 1,bangalore,0.0,600000.0,800000.0
1586441,Amazon | SDE2 | Bangalore,2021/11/19,amazon (aws),sde2,7+ yrs,"inr 37,00,000",": inr 63,00,000 first year",bangalore,amazon,sde 2,bangalore,7.0,3700000.0,6300000.0
925727,Oracle(OCI) | IC3 | Bengaluru,2020/11/06,oracle(oci),ic3,6,"43,00,000",: 69l,bangalore,oracle,ic3,bangalore,6.0,4300000.0,6900000.0
1725434,Sprinklr | Product Engineer | Gurgoan,2022/01/28,sprinklr,product engineer,0,inr 2400000,: 30lpa,gurgaon,sprinklr,product engineer 1,delhi,0.0,2400000.0,3000000.0
551413,Flipkart | SDE III | Bangalore,2020/03/26,flipkart,,6.5 years,37 lpa,: 50lpa first year,bangalore,flipkart,n/a,bangalore,6.5,3700000.0,5000000.0
872643,Paypal | SDE 2 | Chennai,2020/10/01,paypal,software engineer 2,3 yr,"₹27,50,000",,"bengaluru, india",paypal,sde 2,bangalore,3.0,2750000.0,-1.0
1068035,Publicis Sapient | SAPL1 | Bangalore,2021/02/16,publicis sapient,senior associate platform l1,5,20 lpa,: 21 lpa,bangalore,publicis sapient,senior associate platform l1,bangalore,5.0,2000000.0,2100000.0
1342670,OLA -  SDE 2,2021/07/17,ola,sde-2,4.9,"rs. 39,00,000","~ rs. 45,00,000",india,ola,sde 2,india,4.9,3900000.0,4500000.0
1557026,Goldman Sachs | New Analyst |  Bengaluru,2021/11/03,goldman sachs,technology analyst,0,"17,50,000 inr",": 24,00,000 inr","bengaluru, india",goldman sachs,techonology analyst,bangalore,0.0,1750000.0,2400000.0
1161763,Infosys | Power Programmer | Bangalore,2021/04/16,infosys,power programmer,0,6 lpa base,: 8lpa,bangalore,infosys,power programmer,bangalore,0.0,600000.0,800000.0
1140975,Salesforce Developer | Prowesssoft,2021/04/04,prowesssoft,salesforce developer,2 years 10months,"9,50,000",:10.5lpa,hyderabad,prowesssoft,n/a,hyderabad,2.8333333333333335,950000.0,1050000.0
1418043,Licious | SDE 2,2021/08/22,licious,sde2,3+yrs,"33,00,000",": 39,00,000 for first year",bangalore,licious,sde 2,bangalore,3.0,3300000.0,3900000.0
1685872,Winzo Games | Software Engineer(Backend) | Delhi,2022/01/13,winzo games,software engineer,6 months,23 lpa,: 28 lpa(first year),delhi,winzo games,sde 1,delhi,0.5,2300000.0,2800000.0
1010824,Microsoft | SDE-1 | Level 60 | Hyderabad,2021/01/10,microsoft,sde1,3.5 years,"rs. 20,00,000",: base salary + bonus + stock,hyderabad,microsoft,sde 1,hyderabad,3.5,2000000.0,-1.0
1455157,Microsoft (Hyderabad) L60 | epiFi.Money (Bangalore),2021/09/10,microsoft,software engineer/ l60,2.2,"inr 21,00,000",: ~ inr 33.5 lpa,"hyderabad, india",microsoft,n/a,hyderabad,2.2,2100000.0,3350000.0
879702,Delhivery | SDE(FTE) | Gurgaon,2020/10/05,delhivery,sde,1,8lpa,: 8lpa,gurgaon,delhivery,sde 1,delhi,1.0,800000.0,800000.0
1302527,Amazon or Disney+Hotstar | New Grad,2021/06/28,o9 solutions,senior solution consultant,5,inr 16 lpa,,bangalore,o9 solutions,n/a,bangalore,5.0,1600000.0,-1.0
1588451,Amazon | SDE 2 | Chennai,2021/11/20,amazon,sde-2,5+,35 lpa,: (35 + 17) = 52 lpa. (first year vesting is less than one so it would be vested next year only),chennai,amazon,sde 2,chennai,5.0,3500000.0,5200000.0
1418056,Wipro | Project Engineer,2021/08/22,wipro,project engineer,fresher,"3,90,000",": 4,16,000",india,wipro,project engineer,india,0.0,390000.0,416000.0
1390723,Amazon | SDE-1 | Bangalore,2021/08/08,amazon,sde-1,3.4,17.5 lpa inr,for first year(salary + bonus + stock): 17.5 + 5.8 + 5% vesting of 5 rsus for first year = 23.3 lacs inr,bangalore,amazon,sde 1,bangalore,3.4,1750000.0,2330000.0
1342671,Wipro |  Project Engineer,2021/07/17,wipro,project engineer,fresher,"3,60,000",": 3,86,000",india,wipro,project engineer,india,0.0,360000.0,386000.0
1306033,IBM | Cloud Software Developer,2021/06/30,ibm,cloud software developer,1.2yrs,13.4l,~ 16lpa,bangalore,ibm,n/a,bangalore,1.2,1340000.0,1600000.0
1641825,Cohesity | MTS 4 | Bengaluru,2021/12/22,cohesity,mts 4,6+,"₹56,50,000",": ~ ₹70,00,000",bengaluru,cohesity,mts 4,bangalore,6.0,5650000.0,7000000.0
974227,"PayPal SE2 | Chennai/Bngalore, India Offer | Shitty Offer",2020/12/16,paypal,se2,3years,"19,50,000 rs",": 19,50,00 (not counting bonus and stocks)",chennai,paypal,sde 2,chennai,3.0,1950000.0,-1.0
1547234,OYO|SDE 2 |Gurgaon,2021/10/29,oyo,sde-2,3.8yrs,"rs. 44,00,000","~ rs. 58,00,000",gurgaon,oyo,sde 2,delhi,3.8,4400000.0,5800000.0
1504331,Microsoft SDE 1 |  Bangalore | Fresher from Tier 3,2021/10/05,microsoft,sde 1,null,14 lakh,,"bangalore, india",microsoft,sde 1,bangalore,-1.0,1400000.0,-1.0
1130263,MindTickle | Software Development Engineer - 1 | Pune,2021/03/28,mindtickle pune,software development engineer - 1,1 year 7 months,"18,00,000 inr",": 21,50,000 + 1000 esops",pune,mindtickle,sde 1,pune,1.5833333333333335,1800000.0,2150000.0
1556311,Razorpay |SDE 2| India,2021/11/03,razorpay,sde 2,4yrs 10 months,"inr 49,00,000",": inr 62,00,000 first year",india,razorpay,sde 2,india,4.833333333333333,4900000.0,6200000.0
1174353,Infosys | System Engineer,2021/04/24,infosys,system engineer,0,inr 360000,": ~ inr 3,70,000 first year",mysore,infosys,systems engineer,mysore,0.0,360000.0,370000.0
1737025,Accenture | Associate Software Engineer | Chennai,2022/02/01,accenture,associate software engineer,0,"4,25,000 inr",": 4,50,000 inr",chennai,accenture,sde 1,chennai,0.0,425000.0,450000.0
631389,Walmart Labs | Software Engineer 3 | Bangalore,2020/05/14,walmart labs,software engineer,3,inr 25 lpa,: inr 33.6 lac for first year,bengauru ka india,walmart,sde 1,bangalore,3.0,2500000.0,3360000.0
640216,Amazon | SDE-1 | Hyderabad,2020/05/19,"amazon, india",sde-1,1.8,15 lakhs,: 21.5lpa first year,hyderabad,amazon,sde 1,hyderabad,1.8,1500000.0,2150000.0
1680076,DP WORLD | SDE1 | Gurgaon,2022/01/10,dp world,software dev. i,1 year 3 months,23.2lpa,: 29lpa,gurgaon,dp world,sde 1,delhi,1.25,2320000.0,2900000.0
1596848,ZOHO | MTS | Chennai,2021/11/26,zoho,member of technical staff,2+,"inr 11,00,000",: 13 lpa,chennai,zoho,mts 1,chennai,2.0,1100000.0,1300000.0
1263126,PharmEasy | SSE,2021/06/10,pharmeasy,sse,3.9yrs,rs.3400000,:rs. 36 lpa,bangalore,pharmeasy,sde 2,bangalore,3.9,3400000.0,3600000.0
1630945,Grab |  SE1 | Grade 3,2021/12/16,grab,software engg. i,2.5 years,"24,00,000",": 31.5l(1st year) , 31l(2nd year), 29l (3rd year), 29l (4th year) (inr)","bangalore, india",grab,n/a,bangalore,2.5,2400000.0,3150000.0
579407,Paytm | Software Engineer | Noida,2020/04/14,paytm,software engineer,2.5,"inr 20,00,000",": inr 22,00,000",noida,paytm,sde 1,delhi,2.5,2000000.0,2200000.0
482879,Oracle | Software Developer 3 | Hyderabad,2020/01/17,oracle,software developer 3,2.8 years,"inr 19,00,000",": inr 21,50,000",hyderabad,oracle,sde 3,hyderabad,2.8,1900000.0,2150000.0
1474173,Walmart IN4 | Bangalore | Sep 2021,2021/09/20,walmart,in4,8.6 years,36 lacs,: ~48lacs including joining bonus,bangalore,walmart,n/a,bangalore,8.6,3600000.0,4800000.0
1180946,Google | SWE (L3) New Grad | India,2021/04/28,google,swe full time,0,inr 16.8 lpa,: inr 30lpa,india,google,sde1 1,india,0.0,1680000.0,3000000.0
864236,Microsoft | SDE II level 62 | Hyderabad,2020/09/26,microsoft,sde 2,5yrs 2 months,"inr 35,50,000",: inr 48l excluding performance bonus,hyderabad,microsoft,sde 2,hyderabad,5.166666666666667,3550000.0,4800000.0
1548311,IBM | SDE | Bangalore,2021/10/30,ibm,sde,0,"5,10,000/-",": 5,10,000/-",bangalore,ibm,sde 1,bangalore,0.0,510000.0,510000.0
1125322,Postman | PhonePe | SDE - 1 Backend Offers,2021/03/24,phonepe,software engineer - backend,1.7 years in a mid-sized product based company,20 l,: 20l + 2l + 4.6l (18.5 / 4) = 26.6 l for the first year,pune,phonepe,sde 1,pune,1.7,2000000.0,2660000.0
820306,Morgan Stanley | Analyst | Bangalore,2020/08/30,morgan stanley,analyst,2 months,"inr 13,00,000 ctc",": ~ inr 13,00,000 + 1,30,000 + 2,00,000 + 78,000 = 17,08,000","bangalore, in",morgan stanley,analyst,bangalore,0.16666666666666666,1300000.0,1708000.0
1289716,Innovaccer | SDE Intern | India,2021/06/22,walmart labs,sde 2,0 years,"14,00,000 inr",": 22,07,000 inr",bangalore,walmart,sde 2,bangalore,0.0,1400000.0,2207000.0
1579866,MPL | SDE 2 | Bangalore,2021/11/15,mpl (mobile premier league),software engineer - ii,3 yrs,38l,: 44.8 lpa,bangalore,mobile premier league,sde 2,bangalore,3.0,3800000.0,4480000.0
1422686,Amazon | SDE 2 | Pune,2021/08/24,amazon,sde 2,7 years,inr 24 lakhs,: ~ inr 55 lakhs for first year (35 base + 20 jb) excl stocks,"pune, india",amazon,sde 2,pune,7.0,2400000.0,5500000.0
1048870,Cohesity | MTS 3 | Bangalore,2021/02/04,cohesity,mts - 3,1.5,"rs. 27,00,000",": rs. 49,06,000 including the rsus (rs. 28,62,000 excluding the rsus)",bangalore,cohesity,mts 3,bangalore,1.5,2700000.0,2862000.0
1400427,Reliance Jio  | DGM | Bengaluru,2021/08/13,reliance jio,dgm,10 years,"41,00,000",: 47.6 lpa,bengaluru,reliance jio,n/a,bangalore,10.0,4100000.0,4760000.0
1671272,Microsoft |  L63 | Bangalore,2022/01/06,microsoft,l63,6.5 yrs,rs. 46 lpa,: 46l (fixed) + 7l (perf bonus : 15%) + 20l (stocks) + 10(jb) = rs. 83l for first year (& 78 for second year).,bangalore,microsoft,sde 3,bangalore,6.5,4600000.0,8300000.0
1678524,Tekion | SSE | Bangalore,2022/01/09,tekion,sse,5.8 yrs,"inr 49,00,000",": inr 63,00,000","bangalore, india",tekion,sde 2,bangalore,5.8,4900000.0,6300000.0
1228682,JPMC | Associate | Mumbai,2021/05/25,jp morgan chase,associate,1 year 10 months,"inr 19,00,000",": inr 22,00,000",mumbai,jp morgan,sde 1,mumbai,1.8333333333333335,1900000.0,2200000.0
1251427,Amazon SDE II | Bangalore,2021/06/04,amazon,sde-ii,4 years,"inr 37,00,000",": inr 57,00,000",bangalore,amazon,sde 2,bangalore,4.0,3700000.0,5700000.0
1311771,Amazon | SDE1 | Bangalore,2021/07/02,amazon,sde-1,0,"13,50,000 inr",": ~18,50,000 inr for the 1st year","bangalore, india",amazon,sde 1,bangalore,0.0,1350000.0,1850000.0
898728,Intuit | Software Engineer 1 | Bangalore,2020/10/17,intuit,software engineer 1,0,inr 13.5l,: inr 17.52l (1usd = 73 inr),bangalore,intuit,sde 1,bangalore,0.0,1350000.0,1752000.0
1086338,DP World | SDE l | Bengaluru,2021/02/28,dp world,software development engineer l,3.5+,32l,: 32l,bengaluru,dp world,sde 1,bangalore,3.5,3200000.0,3200000.0
758883,Enphase Energy | Embedded Software Engineer | Bangalore,2020/07/27,enphase energy,embedded software engineer,0,"inr 19,21,549",": inr 21,21,549",bangalore,enphase energy,n/a,bangalore,0.0,1921549.0,2121549.0
1571547,Walmart Global Tech - SE 2 || IN2,2021/11/11,walmart global tech,se-2 or in2,1.1 yrs,"inr 12,00,000","= 17,00,000 inr",chennai,walmart,n/a,chennai,1.1,1200000.0,1700000.0
1437506,Amazon | SDE1 | Bangalore | India | Accepted,2021/09/01,amazon india,sde1,2+ years,inr 18 lpa,: inr 26 lakh,bangalore,amazon,sde 1,bangalore,2.0,1800000.0,2600000.0
